models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=1,1,1,1,1,1,1,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	487	455	7.72	1.57	0	0	true
1	1	206	401	8.06	4.87	0	1	true
1	2	290	266	6.83	1.92	0	2	true
1	3	328	275	5.86	3.8	0	3	true
1	4	25	104	8.11	0.07	0	4	true
1	5	10	426	9.97	6.02	0	5	true
1	6	182	16	8.84	1.96	0	6	true
1	7	191	3	10.12	1.99	0	6	false
1	8	190	1	8	1.44	0	6	false
1	9	190	16	8.36	5.3	0	6	false
2	0	487	463	7.72	1.57	0	0	true
2	1	207	393	8.06	4.87	0	1	true
2	2	288	273	6.83	1.92	0	2	true
2	3	323	271	5.86	3.8	0	3	true
2	4	33	105	8.11	0.07	0	4	true
2	5	20	424	9.97	6.02	0	5	true
2	6	179	24	8.84	1.96	0	6	true
2	7	187	12	8.15	4.08	0	6	false
2	8	191	9	8.84	3.51	0	6	false
2	9	194	9	10.01	2.56	0	6	false
3	0	487	471	7.72	1.57	0	0	true
3	1	208	385	8.06	4.87	0	1	true
3	2	285	279	6.83	1.92	0	2	true
3	3	318	268	5.86	3.8	0	3	true
3	4	41	105	8.11	0.07	0	4	true
3	5	29	421	9.97	6.02	0	5	true
3	6	175	33	8.84	1.96	0	6	true
3	7	182	6	9.29	-0.79	0	6	false
3	8	182	6	7.59	4.36	0	6	false
3	9	186	15	10.11	2.83	0	6	false
4	0	487	478	7.72	1.57	0	0	true
4	1	209	377	8.06	4.87	0	1	true
4	2	283	286	6.83	1.92	0	2	true
4	3	314	264	5.86	3.8	0	3	true
4	4	49	106	8.11	0.07	0	4	true
4	5	39	418	9.97	6.02	0	5	true
4	6	172	41	8.84	1.96	0	6	true
4	7	189	0	9.48	0.12	0	6	false
4	8	180	0	7.95	0.06	0	6	false
4	9	176	18	9.83	2.62	0	6	false
5	0	487	486	7.72	1.57	0	0	true
5	1	211	369	8.06	4.87	0	1	true
5	2	280	292	6.83	1.92	0	2	true
5	3	309	261	5.86	3.8	0	3	true
5	4	57	107	8.11	0.07	0	4	true
5	5	48	416	9.97	6.02	0	5	true
5	6	168	49	8.84	1.96	0	6	true
5	7	198	1	8.21	4.07	0	6	false
5	8	188	1	10.14	2.45	0	6	false
5	9	168	23	9.59	0.83	0	6	false
6	0	487	494	7.72	1.57	0	0	true
6	1	212	361	8.06	4.87	0	1	true
6	2	278	298	6.83	1.92	0	2	true
6	3	304	257	5.86	3.8	0	3	true
6	4	65	107	8.11	0.07	0	4	true
6	5	58	413	9.97	6.02	0	5	true
6	6	165	57	8.84	1.96	0	6	true
6	7	193	5	9.6	1.51	0	6	false
6	8	180	7	7.81	2.79	0	6	false
6	9	174	30	8.5	4.13	0	6	false
7	0	487	497	7.72	4.71	0	0	true
7	1	213	353	8.06	4.87	0	1	true
7	2	276	305	6.83	1.92	0	2	true
7	3	300	253	5.86	3.8	0	3	true
7	4	73	108	8.11	0.07	0	4	true
7	5	68	410	9.97	6.02	0	5	true
7	6	162	65	8.84	1.96	0	6	true
