models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=Null	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=20,20,20,20,20,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=100	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	29	42	6.06	5.92	0	0	true
1	1	21	49	5.73	8.32	0	0	false
1	2	26	49	6.72	6.66	0	0	false
1	3	28	41	5.3	1.83	0	0	false
1	4	28	49	6.59	7.1	0	0	false
1	5	17	42	5.16	-0.47	0	0	false
1	6	25	49	5.5	6.85	0	0	false
1	7	18	42	6.55	-1.37	0	0	false
1	8	28	39	6.63	-0.36	0	0	false
1	9	18	47	6.26	4.98	0	0	false
1	10	30	47	5.86	6.25	0	0	false
1	11	24	38	5.96	2.64	0	0	false
1	12	28	41	6.75	-1.34	0	0	false
1	13	27	48	5.89	7.1	0	0	false
1	14	26	39	6.31	-0.38	0	0	false
1	15	26	38	6.62	0.75	0	0	false
1	16	26	38	6.46	0.36	0	0	false
1	17	18	41	6.61	0.32	0	0	false
1	18	24	49	6.32	3.09	0	0	false
1	19	20	39	6.07	1.89	0	0	false
1	20	100	206	8.8	0.13	0	1	true
1	21	86	196	9.58	-1.81	0	1	false
1	22	87	198	8.33	1.26	0	1	false
1	23	82	201	7.61	0.44	0	1	false
1	24	93	213	8.04	4.66	0	1	false
1	25	83	201	8.42	2.41	0	1	false
1	26	84	208	9.22	7.35	0	1	false
1	27	100	206	8.21	2	0	1	false
1	28	86	211	8.29	5.14	0	1	false
1	29	90	195	8.66	2.32	0	1	false
1	30	83	199	7.56	-0.75	0	1	false
1	31	84	202	9.79	-0.12	0	1	false
1	32	88	214	7.65	4.08	0	1	false
1	33	85	198	9.33	0.2	0	1	false
1	34	87	197	9.29	3.12	0	1	false
1	35	94	196	9.07	2.17	0	1	false
1	36	87	213	9.04	4.94	0	1	false
1	37	85	212	8.41	5.46	0	1	false
1	38	100	202	8.73	-0.41	0	1	false
1	39	99	200	9.99	2.42	0	1	false
1	40	397	365	9.71	2.45	0	2	true
1	41	400	366	11.03	2.37	0	2	false
1	42	397	364	8.47	3.53	0	2	false
1	43	400	367	9.15	4.27	0	2	false
1	44	413	362	8.51	5.35	0	2	false
1	45	403	369	9.56	1.67	0	2	false
1	46	413	356	9.46	1.57	0	2	false
1	47	406	350	11.03	0.47	0	2	false
1	48	413	362	9.65	3.66	0	2	false
1	49	412	353	8.26	4.15	0	2	false
1	50	412	364	10.46	1.06	0	2	false
1	51	406	368	9.71	5.46	0	2	false
1	52	414	359	9.75	2.74	0	2	false
1	53	400	352	8.59	-0.42	0	2	false
1	54	398	351	10.81	-0.55	0	2	false
1	55	412	365	9.46	1.47	0	2	false
1	56	414	360	9.06	3.89	0	2	false
1	57	399	366	8.77	2.19	0	2	false
1	58	409	367	10.87	2.35	0	2	false
1	59	402	367	9.3	3.82	0	2	false
1	60	166	305	9.42	0.27	0	3	true
1	61	150	296	8.16	2.06	0	3	false
1	62	148	298	8.7	2.75	0	3	false
1	63	163	310	9.05	6.52	0	3	false
1	64	154	312	8.18	5.12	0	3	false
1	65	150	297	10.1	2.7	0	3	false
1	66	160	293	9.96	0.25	0	3	false
1	67	162	309	9.38	3.53	0	3	false
1	68	164	308	9.09	6.39	0	3	false
1	69	166	308	9.29	3.37	0	3	false
1	70	167	301	8.73	3.11	0	3	false
1	71	156	312	8.81	7.45	0	3	false
1	72	164	296	9.69	-0.93	0	3	false
1	73	149	297	8.2	2.85	0	3	false
1	74	149	296	8.1	0.81	0	3	false
1	75	159	310	8.64	7.21	0	3	false
1	76	160	312	9.69	3.04	0	3	false
1	77	167	297	9.25	-0.11	0	3	false
1	78	157	292	9.19	3.34	0	3	false
1	79	153	311	9.46	6.58	0	3	false
1	80	471	162	6.7	1.26	0	4	true
1	81	462	159	6.42	-2.2	0	4	false
1	82	470	149	7.2	0.44	0	4	false
1	83	475	154	6.67	0.8	0	4	false
1	84	469	161	6.1	1.27	0	4	false
1	85	471	149	6.29	1.83	0	4	false
1	86	473	160	5.8	1.62	0	4	false
1	87	462	152	6.24	3.48	0	4	false
1	88	463	151	5.78	1.86	0	4	false
1	89	465	160	6.86	-0.71	0	4	false
1	90	463	151	6.08	-0.35	0	4	false
1	91	475	154	6.24	0.4	0	4	false
1	92	466	161	6.2	-0.72	0	4	false
1	93	466	161	6.66	-2.72	0	4	false
1	94	464	151	6.54	-0.99	0	4	false
1	95	471	150	6.58	0.2	0	4	false
1	96	473	150	7.22	1.61	0	4	false
1	97	475	156	7.37	3.67	0	4	false
1	98	473	161	6.1	5.13	0	4	false
1	99	470	149	6.41	-0.2	0	4	false
2	0	35	40	6.06	5.92	0	0	true
2	1	18	54	6.89	4.41	0	0	false
2	2	33	52	5.27	4.8	0	0	false
2	3	27	46	5.97	6.97	0	0	false
2	4	32	54	6.16	4.64	0	0	false
2	5	22	39	5.44	2.21	0	0	false
2	6	30	52	5.5	7.48	0	0	false
2	7	19	35	5.21	1.81	0	0	false
2	8	34	37	6.7	0.04	0	0	false
2	9	19	41	5.26	3.45	0	0	false
2	10	35	47	6.5	6.49	0	0	false
2	11	19	41	5.28	3.81	0	0	false
2	12	29	34	6.12	1.81	0	0	false
2	13	31	52	6.52	6.64	0	0	false
2	14	31	37	6.38	2.09	0	0	false
2	15	31	43	6	3.51	0	0	false
2	16	32	41	5.84	3.96	0	0	false
2	17	24	43	5.4	4.95	0	0	false
2	18	18	50	5.77	6.22	0	0	false
2	19	18	45	5.54	7.72	0	0	false
2	20	108	207	8.8	0.13	0	1	true
2	21	83	187	8.4	-1.64	0	1	false
2	22	89	205	8.47	-1.32	0	1	false
2	23	88	204	9.52	-2.03	0	1	false
2	24	92	205	7.84	-1.67	0	1	false
2	25	76	207	8.54	2.45	0	1	false
2	26	88	216	9.31	5.11	0	1	false
2	27	96	214	8.68	5.84	0	1	false
2	28	90	203	9.05	-1.9	0	1	false
2	29	84	202	9.89	-1.51	0	1	false
2	30	88	194	10.02	-1.15	0	1	false
2	31	94	201	8.91	-2.34	0	1	false
2	32	83	208	9.64	7.44	0	1	false
2	33	95	200	7.53	2.75	0	1	false
2	34	78	197	7.96	-1.38	0	1	false
